Date,BIL,SHY,IEI,IEF,TLH,TLT,TIP
2010-01-04,91.7,83.07,110.24,88.82,106.58,89.81,104.17
2010-01-05,91.68,83.17,110.59,89.21,107.16,90.39,104.51
2010-01-06,91.68,83.18,110.44,88.85,106.48,89.18,104.24
2010-01-07,91.68,83.16,110.4,88.85,106.58,89.33,104.4
2010-01-08,91.68,83.24,110.56,88.96,106.78,89.29,104.62
2010-01-11,91.68,83.28,110.68,89.02,106.66,88.8,104.39
2010-01-12,91.68,83.35,111.16,89.66,107.98,90.32,104.87
2010-01-13,91.72,83.28,110.79,89.23,107.27,89.27,104.4
2010-01-14,91.7,83.36,111.06,89.65,107.94,90.52,104.67
2010-01-15,91.7,83.43,111.36,90.05,108.42,91.08,105.01
2010-01-19,91.7,83.45,111.25,89.89,108.14,90.82,104.93
2010-01-20,91.7,83.45,111.46,90.2,108.76,91.74,105.09
2010-01-21,91.7,83.52,111.77,90.53,109.45,92.16,105.29
2010-01-22,91.7,83.59,111.83,90.61,109.63,92.0,105.19
2010-01-25,91.72,83.52,111.73,90.41,109.06,91.58,104.92
2010-01-26,91.72,83.53,111.87,90.59,109.25,91.61,105.24
2010-01-27,91.74,83.5,111.63,90.38,109.11,91.56,104.96
2010-01-28,91.72,83.54,111.77,90.35,109.01,91.51,105.1
2010-01-29,91.74,83.62,112.04,90.7,109.48,92.31,105.49
2010-02-01,91.72,83.5,111.63,90.09,108.54,91.15,105.24
2010-02-02,91.7,83.51,111.68,90.24,108.73,91.41,105.43
2010-02-03,91.74,83.45,111.44,89.81,108.11,90.35,105.0
2010-02-04,91.74,83.57,112.08,90.55,109.24,91.78,105.28
2010-02-05,91.74,83.7,112.34,90.84,109.63,91.98,105.09
2010-02-08,91.74,83.64,112.22,90.76,109.55,92.1,104.93
2010-02-09,91.74,83.56,111.98,90.27,108.83,91.18,104.57
2010-02-10,91.74,83.47,111.67,90.02,108.25,90.31,104.26
2010-02-11,91.74,83.5,111.7,89.91,107.9,89.82,104.01
2010-02-12,91.74,83.57,111.91,90.12,108.26,90.19,104.01
2010-02-16,91.74,83.58,112.01,90.32,108.53,90.36,104.31
2010-02-17,91.68,83.51,111.63,89.84,107.6,89.33,104.11
2010-02-18,91.72,83.46,111.4,89.52,107.17,88.97,104.02
2010-02-19,91.68,83.43,111.27,89.57,107.5,89.45,103.84
2010-02-22,91.72,83.46,111.3,89.5,107.16,89.08,103.58
2010-02-23,91.68,83.53,111.83,90.18,108.38,90.47,103.9
2010-02-24,91.72,83.57,111.8,90.23,108.5,90.69,103.7
2010-02-25,91.72,83.64,112.16,90.56,108.84,91.2,103.7
2010-02-26,91.72,83.67,112.26,90.7,109.25,91.67,103.91
2010-03-01,91.68,83.58,112.12,90.55,109.06,91.34,103.92
2010-03-02,91.7,83.58,112.22,90.6,109.05,91.22,104.0
2010-03-03,91.68,83.57,112.22,90.51,108.78,90.99,103.96
2010-03-04,91.68,83.54,112.25,90.67,109.28,91.47,104.07
2010-03-05,91.68,83.47,111.87,90.24,108.32,90.27,103.84
2010-03-08,91.68,83.43,111.74,90.0,108.02,89.8,103.75
2010-03-09,91.68,83.49,111.88,90.23,108.09,89.82,103.93
2010-03-10,91.7,83.47,111.71,90.08,108.03,89.59,103.82
2010-03-11,91.68,83.37,111.58,90.0,108.09,89.92,103.94
2010-03-12,91.68,83.38,111.59,90.14,108.43,90.48,104.21
2010-03-15,91.68,83.41,111.65,90.14,108.43,90.36,104.19
2010-03-16,91.68,83.43,111.93,90.49,109.13,91.08,104.58
2010-03-17,91.68,83.45,111.92,90.6,109.37,91.47,104.8
2010-03-18,91.68,83.4,111.67,90.36,109.05,91.17,104.38
2010-03-19,91.68,83.34,111.48,90.24,109.23,91.26,104.18
2010-03-22,91.7,83.37,111.75,90.54,109.37,91.36,104.42
2010-03-23,91.7,83.34,111.65,90.35,108.96,90.93,104.34
2010-03-24,91.68,83.21,110.92,89.45,107.62,89.27,103.5
2010-03-25,91.72,83.24,110.77,89.12,107.01,88.7,103.36
2010-03-26,91.72,83.29,110.94,89.33,107.31,88.95,103.49
2010-03-29,91.68,83.33,110.94,89.2,107.17,88.61,103.36
2010-03-30,91.68,83.31,110.98,89.29,107.36,88.89,103.45
2010-03-31,91.72,83.37,111.18,89.5,107.7,89.5,103.9
2010-04-01,91.72,83.26,110.82,89.06,107.15,88.95,103.44
2010-04-05,91.68,83.03,110.09,88.26,105.99,87.47,102.71
2010-04-06,91.68,83.09,110.31,88.52,106.05,87.61,103.12
2010-04-07,91.68,83.22,110.71,89.07,107.09,88.73,103.85
2010-04-08,91.68,83.2,110.64,88.97,106.87,88.77,103.75
2010-04-09,91.68,83.22,110.67,89.07,107.05,88.98,103.86
2010-04-12,91.68,83.26,110.88,89.31,107.51,89.45,104.15
2010-04-13,91.68,83.24,111.01,89.48,107.72,89.74,104.24
2010-04-14,91.68,83.24,110.89,89.24,107.28,89.11,104.11
2010-04-15,91.68,83.3,111.09,89.39,107.54,89.21,104.41
2010-04-16,91.68,83.43,111.53,89.93,108.22,89.86,104.65
2010-04-19,91.7,83.35,111.3,89.71,107.85,89.64,104.4
2010-04-20,91.68,83.36,111.25,89.75,108.04,89.96,104.65
2010-04-21,91.68,83.37,111.41,90.04,108.6,90.7,104.97
2010-04-22,91.68,83.31,111.19,89.83,108.41,90.43,104.67
2010-04-23,91.68,83.28,111.02,89.58,108.03,90.11,104.68
2010-04-26,91.7,83.28,111.11,89.64,108.09,90.21,104.77
2010-04-27,91.68,83.44,111.86,90.48,109.36,91.48,105.38
2010-04-28,91.7,83.42,111.48,90.02,108.57,90.7,105.17
2010-04-29,91.7,83.44,111.64,90.17,109.02,91.08,105.72
2010-04-30,91.68,83.54,111.98,90.72,109.79,92.13,106.06
2010-05-03,91.7,83.38,111.54,90.21,109.29,91.69,105.71
2010-05-04,91.68,83.43,112.0,90.82,110.25,93.34,105.87
2010-05-05,91.7,83.54,112.37,91.17,110.63,93.89,105.92
2010-05-06,91.72,83.72,113.0,92.17,112.65,96.79,106.4
