Date,BIL,SHY,IEI,IEF,TLH,TLT,TIP
2010-01-04,88.54,76.76,95.91,72.4,85.38,68.08,85.92
2010-01-05,88.52,76.86,96.21,72.72,85.84,68.52,86.2
2010-01-06,88.52,76.86,96.08,72.43,85.3,67.61,85.98
2010-01-07,88.52,76.85,96.05,72.43,85.38,67.72,86.11
2010-01-08,88.52,76.92,96.19,72.52,85.54,67.69,86.29
2010-01-11,88.52,76.96,96.29,72.57,85.44,67.32,86.11
2010-01-12,88.52,77.02,96.71,73.09,86.5,68.47,86.5
2010-01-13,88.56,76.96,96.39,72.74,85.93,67.67,86.11
2010-01-14,88.54,77.03,96.62,73.08,86.47,68.62,86.34
2010-01-15,88.54,77.1,96.88,73.4,86.85,69.05,86.62
2010-01-19,88.54,77.11,96.79,73.27,86.63,68.85,86.55
2010-01-20,88.54,77.11,96.97,73.53,87.12,69.55,86.68
2010-01-21,88.54,77.18,97.24,73.8,87.68,69.86,86.85
2010-01-22,88.54,77.24,97.29,73.86,87.82,69.74,86.76
2010-01-25,88.56,77.18,97.21,73.7,87.36,69.42,86.54
2010-01-26,88.56,77.19,97.33,73.84,87.51,69.45,86.81
2010-01-27,88.57,77.16,97.12,73.67,87.4,69.41,86.58
2010-01-28,88.56,77.2,97.24,73.65,87.32,69.37,86.69
2010-01-29,88.57,77.27,97.47,73.93,87.7,69.98,87.01
2010-02-01,88.56,77.24,97.31,73.68,87.23,69.34,86.98
2010-02-02,88.54,77.25,97.36,73.8,87.38,69.54,87.13
2010-02-03,88.57,77.19,97.15,73.45,86.88,68.73,86.78
2010-02-04,88.57,77.3,97.71,74.06,87.79,69.82,87.01
2010-02-05,88.57,77.42,97.93,74.29,88.1,69.97,86.85
2010-02-08,88.57,77.37,97.83,74.23,88.04,70.07,86.72
2010-02-09,88.57,77.29,97.62,73.83,87.46,69.37,86.42
2010-02-10,88.57,77.21,97.35,73.62,86.99,68.7,86.17
2010-02-11,88.57,77.24,97.37,73.53,86.71,68.33,85.96
2010-02-12,88.57,77.3,97.56,73.71,87.0,68.61,85.96
2010-02-16,88.57,77.31,97.64,73.87,87.22,68.74,86.21
2010-02-17,88.52,77.25,97.31,73.48,86.47,67.96,86.04
2010-02-18,88.56,77.2,97.11,73.21,86.13,67.68,85.97
2010-02-19,88.52,77.17,97.0,73.26,86.39,68.05,85.82
2010-02-22,88.56,77.2,97.03,73.2,86.12,67.77,85.61
2010-02-23,88.52,77.27,97.49,73.75,87.1,68.83,85.87
2010-02-24,88.56,77.3,97.46,73.8,87.2,68.99,85.7
2010-02-25,88.56,77.37,97.78,74.07,87.47,69.38,85.7
2010-02-26,88.56,77.4,97.86,74.18,87.8,69.74,85.88
2010-03-01,88.52,77.38,97.92,74.26,87.9,69.71,85.89
2010-03-02,88.54,77.38,98.01,74.3,87.89,69.62,85.96
2010-03-03,88.52,77.37,98.01,74.22,87.67,69.44,85.92
2010-03-04,88.52,77.34,98.03,74.36,88.08,69.81,86.01
2010-03-05,88.52,77.28,97.7,74.0,87.3,68.89,85.82
2010-03-08,88.52,77.24,97.59,73.81,87.06,68.53,85.75
2010-03-09,88.52,77.3,97.71,73.99,87.12,68.55,85.9
2010-03-10,88.54,77.28,97.56,73.87,87.07,68.37,85.81
2010-03-11,88.52,77.19,97.45,73.81,87.12,68.62,85.91
2010-03-12,88.52,77.2,97.46,73.92,87.39,69.05,86.13
2010-03-15,88.52,77.22,97.51,73.92,87.39,68.96,86.11
2010-03-16,88.52,77.24,97.75,74.21,87.96,69.51,86.44
2010-03-17,88.52,77.26,97.74,74.3,88.15,69.81,86.62
2010-03-18,88.52,77.21,97.53,74.1,87.89,69.58,86.27
2010-03-19,88.52,77.16,97.36,74.0,88.04,69.65,86.1
2010-03-22,88.54,77.19,97.6,74.25,88.15,69.72,86.3
2010-03-23,88.54,77.16,97.51,74.09,87.82,69.39,86.24
2010-03-24,88.52,77.04,96.87,73.35,86.74,68.13,85.54
2010-03-25,88.56,77.07,96.74,73.08,86.25,67.69,85.43
2010-03-26,88.56,77.11,96.89,73.26,86.49,67.88,85.53
2010-03-29,88.52,77.15,96.89,73.15,86.38,67.62,85.43
2010-03-30,88.52,77.13,96.92,73.22,86.53,67.84,85.5
2010-03-31,88.56,77.19,97.1,73.4,86.8,68.3,85.87
2010-04-01,88.56,77.16,96.98,73.24,86.65,68.14,85.86
2010-04-05,88.52,76.95,96.35,72.59,85.71,67.0,85.25
2010-04-06,88.52,77.0,96.54,72.8,85.76,67.11,85.59
2010-04-07,88.52,77.12,96.89,73.25,86.6,67.97,86.2
2010-04-08,88.52,77.1,96.83,73.17,86.43,68.0,86.12
2010-04-09,88.52,77.12,96.85,73.25,86.57,68.16,86.21
2010-04-12,88.52,77.16,97.04,73.45,86.94,68.52,86.45
2010-04-13,88.52,77.14,97.15,73.59,87.11,68.74,86.52
2010-04-14,88.52,77.14,97.05,73.39,86.76,68.26,86.41
2010-04-15,88.52,77.2,97.22,73.52,86.97,68.34,86.66
2010-04-16,88.52,77.32,97.61,73.96,87.52,68.83,86.86
2010-04-19,88.54,77.24,97.4,73.78,87.22,68.67,86.66
2010-04-20,88.52,77.25,97.36,73.81,87.37,68.91,86.86
2010-04-21,88.52,77.26,97.5,74.05,87.82,69.48,87.13
2010-04-22,88.52,77.21,97.31,73.88,87.67,69.27,86.88
2010-04-23,88.52,77.18,97.16,73.67,87.36,69.03,86.89
2010-04-26,88.54,77.18,97.24,73.72,87.41,69.1,86.96
2010-04-27,88.52,77.33,97.89,74.41,88.44,70.07,87.47
2010-04-28,88.54,77.31,97.56,74.03,87.8,69.48,87.29
2010-04-29,88.54,77.33,97.7,74.16,88.16,69.77,87.75
2010-04-30,88.52,77.42,98.0,74.61,88.79,70.57,88.03
2010-05-03,88.54,77.34,97.81,74.41,88.67,70.48,87.88
2010-05-04,88.52,77.39,98.22,74.92,89.45,71.75,88.01
2010-05-05,88.54,77.49,98.54,75.21,89.75,72.17,88.05
2010-05-06,88.56,77.66,99.09,76.03,91.39,74.4,88.45
2010-05-07,88.56,77.63,99.11,75.82,90.86,73.47,88.26
2010-05-10,88.56,77.53,98.63,75.25,89.96,71.95,88.01
2010-05-11,88.56,77.57,98.73,75.34,89.95,71.76,88.18
2010-05-12,88.56,77.56,98.58,75.15,89.52,71.22,88.29
2010-05-13,88.54,77.6,98.74,75.35,89.94,71.69,88.36
